,1709
POINT (12.537129456130142 55.66836766796213),7
POINT (12.537704638403325 55.66675232438362),6
POINT (12.537787879682218 55.6676925517532),5
POINT (12.538289406346948 55.66442253977783),10
POINT (12.53830779064172 55.66785456536508),4
POINT (12.538349238346308 55.66868857864086),4
POINT (12.538372582481191 55.66378615585097),18
POINT (12.538615656748402 55.665627901302585),6
POINT (12.53889096573398 55.668829958637204),3
POINT (12.539164002916081 55.66426262330878),14
POINT (12.539411095819181 55.66526993632241),7
POINT (12.539639943852954 55.6657221042176),7
POINT (12.539845571851663 55.66785300907729),3
POINT (12.539942773174541 55.66751069807649),9
POINT (12.540221280261319 55.66628450441467),10
POINT (12.540257022288436 55.66645907421336),3
POINT (12.540284288535348 55.66412020751191),15
POINT (12.540466240457787 55.664935155501475),20
POINT (12.540657256638447 55.66901028364549),23
POINT (12.540737453752314 55.66738279185278),6
POINT (12.540927377506753 55.665400382838186),7
POINT (12.541067172452934 55.668383787163094),20
POINT (12.541133423462824 55.670310503527965),27
POINT (12.541147041547319 55.66614527167418),8
POINT (12.541171594471889 55.66820638620267),34
POINT (12.541236589908124 55.66381331692837),5
POINT (12.54125782840498 55.66440666273642),21
POINT (12.541608345662967 55.6651319810291),12
POINT (12.541689008276652 55.664698464335395),5
POINT (12.541756282119437 55.669754407101976),74
POINT (12.541799227919972 55.66374067715281),5
POINT (12.542011240123088 55.66478679815038),27
POINT (12.542012749577749 55.66913379620409),38
POINT (12.542081075591254 55.66606476239148),6
POINT (12.542210942603464 55.670807859058755),50
POINT (12.542254718504221 55.66571805806927),11
POINT (12.542412004712645 55.664611516197574),20
POINT (12.54249873402347 55.66985709549364),23
POINT (12.5427771339543 55.68765028548488),25
POINT (12.54281009993449 55.66401550883955),6
POINT (12.542868363809468 55.66613504477878),12
POINT (12.542930237739723 55.66548849354393),5
POINT (12.542986553685843 55.66776977265002),56
POINT (12.543198228114626 55.67106251658816),38
POINT (12.543202399817337 55.66373070801498),6
POINT (12.5432314289984 55.66789959704951),15
POINT (12.54325283123436 55.66533034644487),9
POINT (12.543273499221984 55.68782110967095),12
POINT (12.543348688460942 55.664832586961346),19
POINT (12.543444491164164 55.67017394667142),39
POINT (12.543665732761665 55.68726821239714),15
POINT (12.543682644825568 55.669753858189544),20
POINT (12.543780375718637 55.67096971826733),16
POINT (12.54399550114775 55.664214344724485),23
POINT (12.544161686192203 55.66912139017796),36
POINT (12.544189091157293 55.687368265492836),17
POINT (12.544199742599593 55.66496887489716),15
POINT (12.544245263218116 55.66527554625655),11
POINT (12.544409193316218 55.68779133087354),11
POINT (12.544413887145557 55.663483625528094),16
POINT (12.544418866515837 55.66628941961393),15
POINT (12.544508903605822 55.68993009650893),19
POINT (12.54453820133381 55.67040104325449),13
POINT (12.54458937410002 55.665913499476545),10
POINT (12.54459126336381 55.665744715507344),9
POINT (12.544761550800555 55.66461237360174),14
POINT (12.544765748353395 55.66399391867127),3
POINT (12.5449205831651 55.66839000824366),8
POINT (12.545021057504998 55.688766109393946),3
POINT (12.545071803143863 55.669615595180645),13
POINT (12.545146431728128 55.68891342479888),12
POINT (12.545272386141672 55.66501117725623),22
POINT (12.545469925797395 55.66363074665303),5
POINT (12.545651990369347 55.66452141272316),11
POINT (12.545679363066471 55.66680345827487),5
POINT (12.545710056285122 55.668996041173166),23
POINT (12.545727270005738 55.68659445520873),19
POINT (12.545771111883877 55.67037726687806),15
POINT (12.54577807518492 55.66760253311163),29
POINT (12.54579053344817 55.687809233766174),26
POINT (12.545937732342988 55.66405695461106),7
POINT (12.545946086128978 55.66572909874019),11
POINT (12.545976047858263 55.66801591468913),57
POINT (12.5460896029951 55.666137973643856),12
POINT (12.546140386363083 55.66426235865197),1
POINT (12.54624350270695 55.66677439071477),16
POINT (12.546328667786735 55.6650127299107),24
POINT (12.546373792697763 55.6861561682),14
POINT (12.546444868489003 55.687281055038675),12
POINT (12.546490545807487 55.6924175529107),2
POINT (12.546530284475745 55.66960629525341),85
POINT (12.546681619795713 55.666395417441706),14
POINT (12.546687672094269 55.67192326214658),6
POINT (12.546779834858667 55.663817286578634),6
POINT (12.546852750758394 55.66415373640335),24
POINT (12.546938302900756 55.664818072703),5
POINT (12.547018423184634 55.66534394810292),10
POINT (12.547030373005338 55.66853280927613),30
POINT (12.547101337372801 55.69295878003332),2
POINT (12.547140405797062 55.66801156169364),100
POINT (12.547221209901627 55.688275281423756),49
POINT (12.54726614497432 55.669165406386924),24
POINT (12.547280597160102 55.66452588721993),14
POINT (12.547329506509053 55.68725564760335),30
POINT (12.547410895272227 55.686749444866365),22
POINT (12.54745076273583 55.685874721662174),22
POINT (12.547487952410352 55.66596841708725),21
POINT (12.547652318875716 55.66656906182306),51
POINT (12.54787667543386 55.66550746388077),8
POINT (12.547907931110114 55.66978463285564),31
POINT (12.547965769411837 55.668625535954824),27
POINT (12.548042821719083 55.66918277285123),15
POINT (12.548245370710289 55.66454623807523),12
POINT (12.548253571671168 55.66777396738013),21
POINT (12.54827103110667 55.68772188738597),15
POINT (12.548401659555024 55.66593262979719),9
POINT (12.548430209431075 55.6668459681413),39
POINT (12.548467325996638 55.671883690981694),41
POINT (12.548579347118931 55.66408234550624),6
POINT (12.548639751226366 55.670993517804014),30
POINT (12.548727172858415 55.665421000239625),8
POINT (12.548757694771336 55.67027374541574),29
POINT (12.548882245427645 55.66496843519835),20
POINT (12.548969479662544 55.669323626629904),17
POINT (12.549121072392458 55.66850009491717),38
POINT (12.549135424651315 55.6719350959356),32
POINT (12.549166442943022 55.66804344003386),32
POINT (12.549190819502224 55.686759804334855),29
POINT (12.549196297916517 55.6662440909734),20
POINT (12.549232173500275 55.68611802755448),8
POINT (12.549258806737488 55.6675206928224),55
POINT (12.549291966787798 55.685729592223744),3
POINT (12.549341714430625 55.66551332419424),19
POINT (12.549411926891946 55.6667494325273),75
POINT (12.54946885063515 55.687483406621766),33
POINT (12.549520514436631 55.68528497067267),41
POINT (12.54959712173022 55.66421917509019),13
POINT (12.549638911553606 55.67213839439851),14
POINT (12.54974918563232 55.670512541271925),30
POINT (12.549763319742356 55.669758595742586),38
POINT (12.5497734692205 55.68639573525471),18
POINT (12.549792488240275 55.69387716081641),4
POINT (12.549890485410698 55.66849771018953),16
POINT (12.549892165061276 55.67122449727053),33
