FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44cb,534,POINT (12.5802945902387 55.67426509455365)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44ca,460,POINT (12.55808466063812 55.67452821964581)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c9,554,POINT (12.59111167638243 55.65963090606804)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c8,511,POINT (12.5921817658735 55.6837863548862)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c7,496,POINT (12.59228242043475 55.68612058350929)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c6,607,POINT (12.59124177929709 55.67580077866565)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c5,548,POINT (12.57496635623803 55.67469165074257)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c4,624,POINT (12.58198920216461 55.67402913003475)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c3,918,POINT (12.50762761306523 55.64029731526569)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c2,1146,POINT (12.530328946557 55.64520481777679)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c1,164489,POINT (12.55523637122031 55.70227277367263)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44c0,1425,POINT (12.58561386521488 55.63341408401097)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44bf,3514,POINT (12.50336097120769 55.64982365528719)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44be,2785,POINT (12.49864358045181 55.64946057687456)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44bd,2797,POINT (12.50134259056065 55.64983722695854)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44bc,2147,POINT (12.48406554041126 55.65817491666799)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44bb,1105,POINT (12.54730546129913 55.63590669558351)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44ba,2552,POINT (12.50317239627036 55.66019812299708)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b9,5095,POINT (12.515826249488 55.65982130004807)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b8,4484,POINT (12.51948052657072 55.65721112593093)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b7,5162,POINT (12.48265354913643 55.6650780835623)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b6,4412,POINT (12.50183066182029 55.65908871323035)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b5,3722,POINT (12.48780175753831 55.65581028723542)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b4,3542,POINT (12.51100669662657 55.65246815779107)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b3,5029,POINT (12.51931864808695 55.66001937441179)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-44b2,4270,POINT (12.48934264289265 55.65877621297853)
